humidity,precipMM,tempC,windspeedKmph,HeatIndexC
72,0,18,5,18
72,0,19,4,19
72,0,18,4,18
72,0,18,4,18
68,0,20,4,20
64,0,21,5,24
59,0,21,5,24
51,0,23,6,25
42,0,24,7,26
33,0,28,8,28
32,0,29,6,29
30,0,30,5,30
29,0,30,3,30
35,0,30,3,30
41,0,28,3,28
47,0,28,3,28
53,0,27,3,27
59,0,26,3,26
64,0,24,4,25
66,0,22,4,25
67,0,22,4,25
68,0,22,4,25
70,0,22,3,24
71,0,21,3,24
72,0,21,3,21
72,0,21,4,24
71,0,21,6,24
71,0,21,7,24
69,0,21,6,21
68,0,21,6,24
66,0,22,6,24
58,0,23,6,25
50,0,24,7,26
42,0,27,8,28
40,0,29,6,29
38,0,30,4,30
36,0,30,3,31
43,0,30,3,31
50,0,28,2,29
57,0,27,2,28
58,0,27,2,28
60,0,26,2,27
61,0,24,2,26
61,0,24,3,26
61,0,24,3,25
62,0,24,4,25
61,0,22,4,25
60,0,22,5,25
59,0,23,5,25
62,0,23,5,25
65,0,22,6,25
68,0,21,6,21
65,0,22,7,25
62,0,21,7,24
59,0,21,8,21
52,0,22,8,24
45,0,24,9,26
38,0,27,9,27
36,0,28,9,28
34,0,29,8,30
32,0,30,8,30
37,0,30,7,30
41,0,29,7,29
46,0,28,7,28
50,0,27,7,28
55,0,26,6,27
59,0,24,5,26
59,0,23,6,25
60,0,22,6,25
60,0,22,6,24
62,0,21,6,24
63,0,21,6,21
65,0,20,6,20
66,0,20,6,20
68,0,20,6,20
69,0,19,5,19
68,0,20,6,20
66,0,19,7,19
65,0,19,8,19
56,0,21,8,21
47,0,23,9,25
38,0,26,9,27
34,0,28,9,28
31,0,29,9,29
28,0,30,10,29
32,0,30,9,29
36,0,29,9,28
41,0,28,8,27
45,0,27,7,27
49,0,26,6,26
53,0,24,5,25
54,0,23,6,25
55,0,23,7,25
56,0,22,8,25
57,0,21,8,21
57,0,20,8,20
58,0,20,7,20
61,0,19,7,19
64,0,19,8,19
66,0,19,8,19
65,0,18,8,18
63,0,19,8,19
62,0,19,9,19
54,0,20,9,20
47,0,23,10,25
39,0,26,10,26
36,0,27,10,27
33,0,28,9,28
29,0,29,8,29
34,0,30,8,29
38,0,28,7,28
43,0,27,6,27
46,0,27,6,27
50,0,26,7,26
53,0,24,7,25
53,0,22,7,24
54,0,22,7,24
54,0,21,6,24
56,0,21,7,21
57,0,20,7,20
58,0,20,7,20
60,0,20,7,20
62,0,19,7,19
63,0,18,6,18
62,0,19,7,19
61,0,19,8,19
59,0,19,9,19
52,0,20,9,20
45,0,23,8,25
39,0,26,8,27
36,0,27,7,28
33,0,29,6,29
30,0,30,5,29
35,0,30,6,29
39,0,29,7,28
44,0,27,8,27
48,0,27,7,27
52,0,26,7,26
56,0,24,6,25
57,0,23,7,25
58,0,21,7,24
60,0,21,8,21
61,0,21,8,21
62,0,20,7,20
63,0,20,7,20
64,0,20,6,20
64,0,19,5,19
65,0,19,3,19
64,0,20,5,20
63,0,19,7,19
63,0,19,9,19
56,0,20,10,20
50,0,23,10,25
44,0,25,11,26
41,0,27,11,27
38,0,28,11,28
35,0,29,10,29
39,0,29,9,29
42,0,28,8,28
46,0,28,6,28
47,0,27,6,27
48,0,26,7,27
49,0,25,7,26
48,0,23,8,25
47,0,22,8,24
47,0,21,9,24
45,0,21,9,21
43,0,20,9,20
42,0,20,10,20
43,0,19,9,19
44,0,19,8,19
46,0,18,7,18
45,0,19,8,19
45,0,20,10,20
44,0,20,12,20
42,0,21,11,21
39,0,23,11,25
36,0,25,11,26
32,0,27,16,27
28,0,28,13,28
24,0,29,14,28
27,0,29,12,28
29,0,28,11,27
31,0,28,9,27
34,0,27,8,26
36,0,25,8,25
39,0,24,7,25
39,0,22,7,24
39,0,22,7,24
39,0,21,8,24
40,0,19,8,19
41,0,19,8,19
42,0,18,8,18
44,0,18,8,18
45,0,18,8,18
47,0,17,8,17
45,0,17,8,17
44,0,17,8,17
42,0,18,8,18
39,0,19,6,19
36,0,22,4,24
33,0,25,7,25
30,0,27,7,27
27,0,28,9,28
24,0,30,9,29
29,0,29,8,28
35,0,28,4,27
40,0,27,5,27
44,0,26,5,26
47,0,24,4,25
51,0,22,4,24
50,0,22,4,24
49,0,21,4,21
48,0,21,4,24
50,0,21,3,21
52,0,21,3,21
53,0,21,3,21
53,0,21,4,21
53,0,20,4,20
53,0,20,5,20
54,0,20,6,20
55,0,20,6,20
56,0,20,7,20
53,0,20,7,20
49,0,22,7,25
46,0.2,24,6,25
43,0,25,5,26
40,0,27,4,27
37,0,28,3,28
41,0,27,3,27
46,0,27,4,27
50,0,26,5,27
52,0.5,26,5,26
53,0,25,5,26
55,0,24,5,25
55,0,23,5,25
55,0,22,5,24
56,0,22,5,24
56,0,21,5,24
56,0,21,6,24
55,0,21,6,24
56,0,21,5,21
56,0,19,4,19
57,0,19,3,19
53,0,19,4,19
50,0,19,5,19
47,0,20,6,20
42,0,20,7,20
36,0,23,7,25
31,0,25,8,26
28,0,27,7,27
25,0,29,6,28
22,0,30,5,29
27,0,29,5,29
31,0,29,4,28
36,0,28,4,27
39,0,27,4,27
43,0,26,4,26
46,0,25,5,25
45,0,23,5,25
45,0,23,6,25
44,0,23,7,24
45,0,22,7,24
45,0,22,8,24
46,0,21,8,24
48,0,21,7,21
49,0,20,5,20
50,0,20,4,20
50,0,20,5,20
49,0,20,6,20
49,0,20,7,20
42,0,21,8,21
36,0,23,9,25
29,0,26,10,26
27,0,28,8,27
25,0,29,7,28
23,0,30,5,29
26,0,30,5,29
30,0,29,5,28
34,0,27,5,27
36,0,27,5,26
37,0,26,6,26
38,0,24,7,25
39,0,24,7,25
39,0,23,8,24
40,0,22,8,24
42,0,22,8,24
43,0,22,8,24
45,0,22,8,24
47,0,21,7,24
48,0,21,5,21
50,0,19,4,19
50,0,19,5,19
50,0,19,6,19
50,0,20,6,20
43,0,21,7,21
36,0,23,7,25
30,0,26,7,26
28,0,28,6,27
27,0,29,6,28
25,0,30,5,29
29,0,30,5,29
32,0,29,4,28
36,0,28,4,27
41,0,27,3,27
45,0,26,3,26
50,0,24,3,25
52,0,23,3,25
55,0,22,3,24
57,0,21,3,21
